"Bus,""No"",""Time"",""State"",""ID (hex)"",""DLC"",""Data (hex)"",""ASCII"""
"USB-to-CAN V2 compact  CAN-1,""1"",""15:35:54.580"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""2"",""15:35:54.605"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""3"",""15:35:54.630"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""4"",""15:35:54.655"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""5"",""15:35:54.680"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""6"",""15:35:54.683"",""  E   "",""18FFF403"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""7"",""15:35:54.688"",""  E   "",""18FF0104"",""8"",""08 10 00 00 A4 04 02 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""8"",""15:35:54.689"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""9"",""15:35:54.692"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 6A 00 FF FF"",""....j..."""
"USB-to-CAN V2 compact  CAN-1,""10"",""15:35:54.694"",""  E   "",""18FFF103"",""8"",""04 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""11"",""15:35:54.696"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 00 FF 02"",""........"""
"USB-to-CAN V2 compact  CAN-1,""12"",""15:35:54.699"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""13"",""15:35:54.704"",""  E   "",""18F00400"",""8"",""FF FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""14"",""15:35:54.708"",""  E   "",""18FF0104"",""8"",""08 10 00 00 00 04 02 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""15"",""15:35:54.709"",""  E   "",""18FEF500"",""8"",""FF FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""16"",""15:35:54.712"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 04 01 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""17"",""15:35:54.716"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 00 FF 02"",""........"""
"USB-to-CAN V2 compact  CAN-1,""18"",""15:35:54.728"",""  E   "",""18FF0104"",""8"",""08 10 00 00 00 04 02 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""19"",""15:35:54.732"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 66 01 FF FF"",""....f..."""
"USB-to-CAN V2 compact  CAN-1,""20"",""15:35:54.734"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""21"",""15:35:54.736"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 00 FF 02"",""........"""
"USB-to-CAN V2 compact  CAN-1,""22"",""15:35:54.739"",""  E   "",""18FFF003"",""8"",""00 00 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""23"",""15:35:54.744"",""  E   "",""18FFF103"",""8"",""00 00 00 00 00 00 00 FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""24"",""15:35:54.748"",""  E   "",""18FF0104"",""8"",""00 10 00 00 00 04 02 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""25"",""15:35:54.749"",""  E   "",""18FEF803"",""8"",""FF FF FF FF C0 27 FF FF"","".....'.."""
"USB-to-CAN V2 compact  CAN-1,""26"",""15:35:54.752"",""  E   "",""18FEF704"",""8"",""FF FF FF FF A5 01 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""27"",""15:35:54.754"",""  E   "",""18F00400"",""8"",""FF FF FF FF FF FF FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""28"",""15:35:54.756"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 00 FF 02"",""........"""
"USB-to-CAN V2 compact  CAN-1,""29"",""15:35:54.768"",""  E   "",""18FF0104"",""8"",""00 10 00 00 00 04 02 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""30"",""15:35:54.772"",""  E   "",""18FEF704"",""8"",""FF FF FF FF CD 01 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""31"",""15:35:54.776"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 00 FF 02"",""........"""
"USB-to-CAN V2 compact  CAN-1,""32"",""15:35:54.784"",""  E   "",""18FFF403"",""8"",""2A 00 00 00 00 00 00 2A"",""*......*"""
"USB-to-CAN V2 compact  CAN-1,""33"",""15:35:54.788"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""34"",""15:35:54.788"",""  E   "",""18FF0104"",""8"",""00 10 00 00 00 04 02 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""35"",""15:35:54.792"",""  E   "",""18FEF704"",""8"",""FF FF FF FF E6 01 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""36"",""15:35:54.796"",""  E   "",""18FFF504"",""8"",""FB 82 00 FF 00 00 FF 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""37"",""15:35:54.808"",""  E   "",""18FF0104"",""8"",""00 10 00 00 00 00 00 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""38"",""15:35:54.812"",""  E   "",""18FEF704"",""8"",""FF FF FF FF F7 01 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""39"",""15:35:54.813"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""40"",""15:35:54.816"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 00 FF 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""41"",""15:35:54.828"",""  E   "",""18FF0104"",""8"",""00 30 00 00 00 01 00 00"","".0......"""
"USB-to-CAN V2 compact  CAN-1,""42"",""15:35:54.832"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 01 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""43"",""15:35:54.836"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 02 FF 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""44"",""15:35:54.838"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""45"",""15:35:54.848"",""  E   "",""18FF0104"",""8"",""00 30 00 00 00 01 00 00"","".0......"""
"USB-to-CAN V2 compact  CAN-1,""46"",""15:35:54.852"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 08 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""47"",""15:35:54.856"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 04 FF 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""48"",""15:35:54.863"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""49"",""15:35:54.868"",""  E   "",""18FF0104"",""8"",""00 30 00 00 00 01 00 00"","".0......"""
"USB-to-CAN V2 compact  CAN-1,""50"",""15:35:54.872"",""  E   "",""18FEF704"",""8"",""FF FF FF FF 0C 02 FF FF"",""........"""
"USB-to-CAN V2 compact  CAN-1,""51"",""15:35:54.876"",""  E   "",""18FFF504"",""8"",""FF 82 00 FF 00 05 FF 00"",""........"""
"USB-to-CAN V2 compact  CAN-1,""52"",""15:35:54.888"",""      "",""492"",""0"",""Remote Frame (DLC=0)"","""""
"USB-to-CAN V2 compact  CAN-1,""53"",""15:35:54.888"",""  E   "",""18FF0104"",""8"",""00 10 00 00 00 00 00 00"",""........"""
